NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	Details ...	68	0.5118778	1.2663207	0.092369474	0.6107527	1.0	5325	tags=46%, list=13%, signal=53%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS	Details ...	113	0.47676414	1.2615438	0.075329565	0.578335	1.0	8048	tags=50%, list=20%, signal=62%	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	Details ...	211	0.43222052	1.238931	0.034545455	0.61939555	1.0	5617	tags=32%, list=14%, signal=37%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Details ...	115	0.45844844	1.2311542	0.062043797	0.6073326	1.0	5617	tags=32%, list=14%, signal=37%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION	Details ...	89	0.4857407	1.2303112	0.10364683	0.57018507	1.0	5530	tags=38%, list=14%, signal=44%	
KEGG_PEROXISOME	KEGG_PEROXISOME	Details ...	77	0.47930622	1.2194753	0.12037037	0.5714865	1.0	4620	tags=31%, list=12%, signal=35%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	44	0.50539535	1.1670843	0.19337016	0.7508214	1.0	5016	tags=41%, list=13%, signal=47%	
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	Details ...	73	0.46106157	1.1619384	0.18217054	0.7322353	1.0	7163	tags=51%, list=18%, signal=62%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	Details ...	90	0.44125575	1.145164	0.1544256	0.76742697	1.0	5862	tags=36%, list=15%, signal=42%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	Details ...	29	0.53695893	1.143327	0.22873347	0.73707026	1.0	5336	tags=34%, list=13%, signal=40%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM		83	0.4392152	1.1348941	0.18470149	0.73696315	1.0	5862	tags=39%, list=15%, signal=45%	
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION		132	0.4154541	1.1313182	0.1706422	0.7177431	1.0	7244	tags=42%, list=18%, signal=51%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS		17	0.6127411	1.1274867	0.30844793	0.7013535	1.0	4995	tags=47%, list=13%, signal=54%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION		28	0.5282953	1.1172694	0.28650647	0.7125969	1.0	4163	tags=39%, list=11%, signal=44%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		74	0.44667053	1.1165878	0.25095057	0.6870229	1.0	3551	tags=30%, list=9%, signal=33%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM		75	0.43312675	1.1026775	0.2542373	0.715165	1.0	8233	tags=51%, list=21%, signal=64%	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION		55	0.45120427	1.0885389	0.28429425	0.743733	1.0	6975	tags=47%, list=18%, signal=57%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM		53	0.45594007	1.084215	0.28030303	0.7349887	1.0	2458	tags=25%, list=6%, signal=26%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION		85	0.4076079	1.0521741	0.31936127	0.8388228	1.0	8087	tags=51%, list=20%, signal=63%	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION		42	0.4564535	1.0521514	0.353167	0.8109347	1.0	7476	tags=36%, list=19%, signal=44%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION		44	0.45614523	1.0409626	0.3745247	0.83000934	1.0	5362	tags=48%, list=14%, signal=55%	
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER		87	0.39527684	1.0259361	0.39811322	0.8652555	1.0	5614	tags=38%, list=14%, signal=44%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY		178	0.3680651	1.0233809	0.3448276	0.84935826	1.0	3047	tags=17%, list=8%, signal=19%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		40	0.44567472	1.0147824	0.4096154	0.85774803	1.0	3021	tags=25%, list=8%, signal=27%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		44	0.44155273	1.008964	0.42230347	0.8566827	1.0	5015	tags=32%, list=13%, signal=36%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION		266	0.34684658	1.008048	0.41519433	0.8364024	1.0	4119	tags=14%, list=10%, signal=15%	
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER		53	0.41148436	0.9772909	0.4903339	0.93627816	1.0	2374	tags=25%, list=6%, signal=26%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION		361	0.32268256	0.96990955	0.57781756	0.942227	1.0	7361	tags=5%, list=19%, signal=6%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS		134	0.35015276	0.9570884	0.57195574	0.96913123	1.0	5397	tags=32%, list=14%, signal=37%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM		22	0.47446626	0.94485646	0.55086374	0.9955876	1.0	3021	tags=32%, list=8%, signal=34%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		42	0.40635657	0.9303378	0.58178437	1.0	1.0	6062	tags=38%, list=15%, signal=45%	
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM		23	0.4636267	0.9302163	0.55172414	1.0	1.0	6766	tags=22%, list=17%, signal=26%	
KEGG_LONG_TERM_POTENTIATION	KEGG_LONG_TERM_POTENTIATION		70	0.36910495	0.9292471	0.5939279	0.98472655	1.0	3030	tags=21%, list=8%, signal=23%	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS		24	0.451861	0.9177576	0.5769231	1.0	1.0	4586	tags=33%, list=12%, signal=38%	
KEGG_LONG_TERM_DEPRESSION	KEGG_LONG_TERM_DEPRESSION		70	0.36764428	0.9139113	0.6301887	0.9977735	1.0	4977	tags=24%, list=13%, signal=28%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION		84	0.35605004	0.909278	0.63117874	0.9929628	1.0	3037	tags=23%, list=8%, signal=24%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		37	0.4039381	0.90920824	0.5810811	0.9721209	1.0	6861	tags=41%, list=17%, signal=49%	
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS		16	0.48417014	0.90920585	0.57587546	0.9518683	1.0	733	tags=13%, list=2%, signal=13%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS		130	0.33511302	0.90619457	0.73822975	0.94297725	1.0	3696	tags=19%, list=9%, signal=21%	
KEGG_GLIOMA	KEGG_GLIOMA		65	0.35893658	0.89181143	0.6888889	0.9726245	1.0	7476	tags=46%, list=19%, signal=57%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS		101	0.33537614	0.88891697	0.7485265	0.9633338	1.0	5415	tags=30%, list=14%, signal=34%	
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM		23	0.43178356	0.88400054	0.6328872	0.96017265	1.0	4904	tags=39%, list=12%, signal=45%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450		69	0.35764304	0.8826526	0.71402216	0.94648	1.0	6613	tags=20%, list=17%, signal=24%	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION		24	0.41841704	0.88193846	0.65209126	0.9313101	1.0	2374	tags=25%, list=6%, signal=27%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY		86	0.34230557	0.88020676	0.71785027	0.91961086	1.0	4308	tags=31%, list=11%, signal=35%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM		39	0.38651767	0.87973547	0.6827458	0.90488416	1.0	5095	tags=41%, list=13%, signal=47%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE		31	0.40533465	0.868525	0.6727273	0.92149675	1.0	6667	tags=39%, list=17%, signal=47%	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM		77	0.34634104	0.86094785	0.8007663	0.9276555	1.0	4919	tags=29%, list=12%, signal=33%	
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER		69	0.34223428	0.8448517	0.84099615	0.95509666	1.0	4896	tags=32%, list=12%, signal=36%	
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION		23	0.4089549	0.83580995	0.6933798	0.96264577	1.0	4566	tags=26%, list=12%, signal=29%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER		52	0.3463279	0.8196564	0.8320755	0.9846403	1.0	5614	tags=38%, list=14%, signal=45%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER		62	0.32812977	0.81316906	0.8907721	0.982164	1.0	5614	tags=39%, list=14%, signal=45%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY		34	0.37521464	0.81304926	0.7830189	0.96681184	1.0	6640	tags=29%, list=17%, signal=35%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA		70	0.31484154	0.7814159	0.94244605	1.0	1.0	2886	tags=20%, list=7%, signal=22%	
KEGG_ONE_CARBON_POOL_BY_FOLATE	KEGG_ONE_CARBON_POOL_BY_FOLATE		17	0.4082876	0.77555877	0.80898875	1.0	1.0	4134	tags=35%, list=10%, signal=39%	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS		33	0.34548348	0.76081556	0.9011628	1.0	1.0	8127	tags=39%, list=21%, signal=50%	
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM		34	0.33624724	0.7392426	0.92870545	1.0	1.0	6902	tags=29%, list=17%, signal=36%	
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG		24	0.3473972	0.7158923	0.93358636	1.0	1.0	7632	tags=25%, list=19%, signal=31%	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM		31	0.32776657	0.7048574	0.95219886	1.0	1.0	6283	tags=35%, list=16%, signal=42%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES		26	0.33966437	0.7033615	0.94392526	0.9925648	1.0	5345	tags=31%, list=14%, signal=36%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT		24	0.33752736	0.68472004	0.9507874	0.98620254	1.0	5028	tags=29%, list=13%, signal=33%	
