Distance in bp(Fragment Length Estimate: 189)(Peak Width Estimate: 189)	Same Strand (+ for Watson strand, - for Crick)	Opposite Strand
-1224	119792.0	118462.0
-1223	119710.0	118091.0
-1222	119435.0	118614.0
-1221	119204.0	117904.0
-1220	119448.0	118522.0
-1219	119293.0	118025.0
-1218	119430.0	117887.0
-1217	119247.0	118299.0
-1216	119049.0	117489.0
-1215	119164.0	117965.0
-1214	119810.0	118108.0
-1213	119336.0	118534.0
-1212	119951.0	118115.0
-1211	119579.0	117958.0
-1210	119587.0	118843.0
-1209	119619.0	117875.0
-1208	119267.0	118210.0
-1207	120001.0	118267.0
-1206	119467.0	118700.0
-1205	119690.0	118031.0
-1204	119923.0	118732.0
-1203	119893.0	118570.0
-1202	119930.0	118144.0
-1201	119910.0	118291.0
-1200	119729.0	118416.0
-1199	119340.0	118352.0
-1198	120073.0	118517.0
-1197	119695.0	118838.0
-1196	119403.0	118110.0
-1195	119287.0	118522.0
-1194	119683.0	118415.0
-1193	119700.0	117745.0
-1192	119688.0	117822.0
-1191	119398.0	118455.0
-1190	119783.0	118455.0
-1189	119913.0	118870.0
-1188	120009.0	118347.0
-1187	119290.0	118669.0
-1186	119676.0	118224.0
-1185	119861.0	118426.0
-1184	120179.0	118139.0
-1183	119983.0	118757.0
-1182	119860.0	118750.0
-1181	119576.0	117665.0
-1180	119861.0	117956.0
-1179	119926.0	118324.0
-1178	119888.0	118281.0
-1177	120150.0	118665.0
-1176	120175.0	118811.0
-1175	119787.0	118549.0
-1174	119878.0	119053.0
-1173	119958.0	118970.0
-1172	119619.0	118630.0
-1171	119363.0	118860.0
-1170	119442.0	118654.0
-1169	120386.0	118885.0
-1168	119426.0	119182.0
-1167	120226.0	118675.0
-1166	119867.0	118532.0
-1165	120298.0	118202.0
-1164	120027.0	118566.0
-1163	119754.0	118453.0
-1162	120114.0	119371.0
-1161	120593.0	118501.0
-1160	120194.0	118945.0
-1159	120043.0	118681.0
-1158	119608.0	118497.0
-1157	120015.0	118645.0
-1156	119832.0	119129.0
-1155	119972.0	118693.0
-1154	120473.0	118139.0
-1153	120170.0	118565.0
-1152	119991.0	118921.0
-1151	120538.0	118967.0
-1150	120311.0	118743.0
-1149	120102.0	119016.0
-1148	120237.0	118931.0
-1147	119633.0	118688.0
-1146	119893.0	118213.0
-1145	119743.0	118932.0
-1144	120074.0	118507.0
-1143	120188.0	118746.0
-1142	120358.0	118435.0
-1141	119682.0	118498.0
-1140	120314.0	118758.0
-1139	120005.0	118427.0
-1138	119466.0	118839.0
-1137	120359.0	119085.0
-1136	120345.0	118550.0
-1135	120043.0	118921.0
-1134	119839.0	118784.0
-1133	119788.0	118502.0
-1132	119937.0	118928.0
-1131	120399.0	119193.0
-1130	120840.0	118841.0
-1129	119856.0	119597.0
-1128	120337.0	118731.0
-1127	120574.0	118882.0
-1126	120029.0	119090.0
-1125	120524.0	119015.0
-1124	120238.0	119348.0
-1123	120536.0	119493.0
-1122	120665.0	118638.0
-1121	120042.0	119056.0
-1120	120373.0	119492.0
-1119	120446.0	119463.0
-1118	120367.0	119150.0
-1117	120677.0	118663.0
-1116	120971.0	119511.0
-1115	120326.0	118899.0
-1114	120676.0	118780.0
-1113	119809.0	119138.0
-1112	120380.0	119511.0
-1111	120078.0	118937.0
-1110	120203.0	119492.0
-1109	120171.0	119638.0
-1108	120260.0	119612.0
-1107	120422.0	119671.0
-1106	120493.0	118802.0
-1105	120694.0	118514.0
-1104	120866.0	119264.0
-1103	120509.0	119285.0
-1102	120161.0	119940.0
-1101	120164.0	119440.0
-1100	120491.0	119155.0
-1099	120833.0	118678.0
-1098	120225.0	119333.0
-1097	120226.0	119087.0
-1096	121009.0	119116.0
-1095	120790.0	118990.0
-1094	120497.0	119636.0
-1093	120655.0	119352.0
-1092	120249.0	119265.0
-1091	119852.0	119584.0
-1090	120282.0	119405.0
-1089	120073.0	118787.0
-1088	120695.0	119040.0
-1087	120142.0	119852.0
-1086	120560.0	119574.0
-1085	120319.0	119488.0
-1084	120633.0	119744.0
-1083	120265.0	119450.0
-1082	120494.0	119132.0
-1081	120727.0	119586.0
-1080	121107.0	118757.0
-1079	121082.0	118878.0
-1078	120855.0	119528.0
-1077	120873.0	119130.0
-1076	121088.0	118864.0
-1075	120208.0	119139.0
-1074	120114.0	119148.0
-1073	120523.0	119766.0
-1072	120870.0	119096.0
-1071	120616.0	119215.0
-1070	120596.0	118828.0
-1069	119935.0	119477.0
-1068	120517.0	119202.0
-1067	120673.0	119666.0
-1066	121429.0	120137.0
-1065	120705.0	118952.0
-1064	120867.0	119185.0
-1063	120790.0	119531.0
-1062	120716.0	119339.0
-1061	120870.0	119623.0
-1060	120823.0	119545.0
-1059	120993.0	119637.0
-1058	120427.0	118946.0
-1057	120447.0	119387.0
-1056	120319.0	119794.0
-1055	121424.0	118738.0
-1054	120988.0	119103.0
-1053	121040.0	119160.0
-1052	120910.0	119779.0
-1051	120114.0	120171.0
-1050	121413.0	119492.0
-1049	120851.0	119414.0
-1048	121155.0	119618.0
-1047	120944.0	119984.0
-1046	120411.0	119947.0
-1045	121093.0	119289.0
-1044	120707.0	119387.0
-1043	121258.0	119576.0
-1042	120952.0	119881.0
-1041	120856.0	119992.0
-1040	120887.0	119702.0
-1039	121060.0	119591.0
-1038	120750.0	119737.0
-1037	120997.0	119214.0
-1036	120993.0	119657.0
-1035	120984.0	119550.0
-1034	121159.0	120035.0
-1033	120933.0	119597.0
-1032	121054.0	119459.0
-1031	121187.0	119752.0
-1030	121378.0	120114.0
-1029	121697.0	119719.0
-1028	121284.0	119345.0
-1027	121076.0	120099.0
-1026	120630.0	119197.0
-1025	121219.0	119714.0
-1024	121066.0	119893.0
-1023	121347.0	120216.0
-1022	121767.0	119907.0
-1021	121201.0	119794.0
-1020	121142.0	119389.0
-1019	120818.0	119844.0
-1018	121195.0	119528.0
-1017	121910.0	119399.0
-1016	120546.0	120028.0
-1015	120620.0	119484.0
-1014	120975.0	120580.0
-1013	121365.0	120205.0
-1012	121113.0	119978.0
-1011	121249.0	119866.0
